"","Control","D01","D02","D03","D04","D05","D06","D07","D08","D09","D10","D11","D12"
"Dapma7bEVm001320","7.281457","7.265868","7.149345","7.406105","7.169157","7.467373","7.482791","7.174090","7.278012","7.085442","7.232877","7.215827","7.173381"
"Dapma7bEVm001321","7.006924","7.029301","6.023117","5.666857","6.759940","5.589879","7.391116","6.575896","6.294254","6.589973","5.391081","2.158146","2.590181"
"Dapma7bEVm001322","6.934839","6.874362","7.200296","7.020766","7.038137","7.091773","7.126882","7.058463","7.197484","7.036635","7.176879","7.110596","7.068077"
"Dapma7bEVm001323","11.14917","11.35404","11.12887","11.24367","11.09303","11.39017","11.16939","11.21783","11.30720","10.92776","10.71925","11.04207","11.31250"
"Dapma7bEVm001325","9.038813","8.850915","9.104188","8.878498","8.926336","8.951592","9.027373","8.993993","8.893093","9.229466","9.204294","9.228033","9.185032"
"Dapma7bEVm001326","6.411719","5.848594","6.338545","6.037550","5.863647","5.904985","5.979140","6.071171","5.788626","6.657584","6.150022","6.263162","6.270657"
"Dapma7bEVm001327","6.148484","5.633447","6.018663","6.261810","5.960108","5.843414","5.830605","6.023641","6.024435","6.151378","6.070595","6.707108","6.447294"
"Dapma7bEVm001328","7.899134","8.050276","8.073142","7.844364","8.020957","8.031984","8.109158","8.052574","8.224844","8.229174","8.019528","8.131310","8.178746"
"Dapma7bEVm001329","7.963671","7.855689","8.066758","7.926797","7.998465","7.819130","7.993890","7.994379","7.848223","8.054287","8.153577","8.017591","8.125697"
"Dapma7bEVm001330","8.563138","8.524699","8.487861","8.596459","8.595421","8.509223","8.502641","8.625183","8.554419","8.741841","8.650819","8.775524","8.742299"
"Dapma7bEVm001331","5.373843","4.689255","4.571022","4.063736","4.754047","4.269439","3.906808","4.053583","4.232124","4.815770","4.509351","4.397748","3.976479"
"Dapma7bEVm001332","9.384416","8.860347","9.273937","8.393323","9.033761","8.860507","8.535717","8.707090","9.145935","9.227128","8.629998","8.556183","8.672849"
"Dapma7bEVm001333","8.243668","8.351682","8.281492","8.155745","8.272768","8.228573","8.260619","8.112186","8.292128","8.405797","8.260501","8.104070","8.168172"
"Dapma7bEVm001334","5.931880","4.626398","5.329620","5.314934","5.339748","4.910867","4.642030","5.183964","5.073252","5.480488","4.988790","4.589345","5.053451"
"Dapma7bEVm001335","8.150172","8.177069","8.160054","8.173904","8.059532","8.093633","8.112681","8.124204","8.204457","8.054842","8.334935","8.256561","8.193714"
